,questions,answers
1899,we can kill two birds with one stone.,what do you mean?
1900,what do you mean?,"while you're using the bathroom, i'll order some food."
1901,"while you're using the bathroom, i'll order some food.",don't order for me. i'm not hungry.
1902,don't order for me. i'm not hungry.,"i'm very hungry. i'll order for you, and then i'll eat yours."
1903,this is such a long light.,look how many cars are waiting in line.
1904,look how many cars are waiting in line.,they need a left-turn arrow.
1905,they need a left-turn arrow.,only two cars can make a left turn every three or four minutes.
1906,only two cars can make a left turn every three or four minutes.,we'll be here forever.
1907,we'll be here forever.,get out of this lane.
1908,get out of this lane.,but we need to turn left.
1909,but we need to turn left.,forget it. go straight.
1910,forget it. go straight.,then what?
1911,then what?,then we'll just make a u-turn.
1912,then we'll just make a u-turn.,and then we can turn right at the light.
1913,and then we can turn right at the light.,good idea. it will be so much quicker.
1914,i need a cheap car.,how much money do you have?
1915,how much money do you have?,"$1,000."
1916,"$1,000.","well, that should get you something."
1917,"well, that should get you something.",but i need something that's reliable.
1918,but i need something that's reliable.,you need a car with low mileage.
1919,you need a car with low mileage.,a car that was owned by a little old lady.
1920,a car that was owned by a little old lady.,where have you looked?
1921,where have you looked?,i haven't looked anywhere yet.
1922,i haven't looked anywhere yet.,why not?
1923,why not?,because i'll never find one for such a low price.
1924,because i'll never find one for such a low price.,you're right about that. keep saving your money.
1925,"good afternoon, officer.","your driver's license and registration, please."
1926,"your driver's license and registration, please.",here you go.
1927,here you go.,do you know why i pulled you over?
1928,do you know why i pulled you over?,i have no idea. all of a sudden i heard your siren.
1929,i have no idea. all of a sudden i heard your siren.,you rolled through that stop sign back there.
1930,you rolled through that stop sign back there.,but i stopped!
1931,but i stopped!,"no, you didn't. you slowed down, but you didn't come to a full stop."
1932,"no, you didn't. you slowed down, but you didn't come to a full stop.","well, nobody else does, so why should i?"
1933,"well, nobody else does, so why should i?",that's not the attitude of a good driver.
1934,that's not the attitude of a good driver.,but i am a good driver. i've never had a ticket in my life.
1935,but i am a good driver. i've never had a ticket in my life.,"well, you've got one now. here. have a nice day."
1936,$140. i can't believe it.,what are you talking about?
1937,what are you talking about?,i got a ticket downtown for $140.
1938,i got a ticket downtown for $140.,were you speeding?
1939,were you speeding?,"no, i was crossing the street."
1940,"no, i was crossing the street.",were you jaywalking?
1941,were you jaywalking?,"no, i was in the crosswalk."
1942,"no, i was in the crosswalk.",so why did you get a ticket?
1943,so why did you get a ticket?,the officer said the red hand was blinking.
1944,the officer said the red hand was blinking.,was it blinking when you entered the crosswalk?
1945,was it blinking when you entered the crosswalk?,"no, the white walk sign was blinking."
1946,"no, the white walk sign was blinking.",you should fight that ticket. i'll be your witness.
1947,they were in a crosswalk near school at 3 a.m.,who?
1948,who?,two students from usc.
1949,two students from usc.,what happened?
1950,what happened?,"a speeding car ran a red light, killing the girl."
1951,"a speeding car ran a red light, killing the girl.",what happened to the other student?
1952,what happened to the other student?,he landed on the hood of the car.
1953,he landed on the hood of the car.,did he get off the hood?
1954,did he get off the hood?,"no, the car stopped and the passenger pushed the injured student off the hood."
1955,"no, the car stopped and the passenger pushed the injured student off the hood.",i'll bet the car continued on its way.
1956,i'll bet the car continued on its way.,of course it did. why stop after you've run over two people?
1957,of course it did. why stop after you've run over two people?,i hope they find them and put them in jail for life.
1958,what happened to your car?,i got a dent in the parking lot.
1959,i got a dent in the parking lot.,how did you get it?
1960,how did you get it?,i don't know. maybe it was from a shopping cart.
1961,i don't know. maybe it was from a shopping cart.,those shopping carts are dangerous.
1962,those shopping carts are dangerous.,especially the metal ones.
1963,especially the metal ones.,i don't park at a store that uses metal shopping carts.
1964,i don't park at a store that uses metal shopping carts.,"that's a good idea, but there was a good sale at this store."
1965,"that's a good idea, but there was a good sale at this store.",did you save any money on the sale?
1966,did you save any money on the sale?,"yes, i did. i saved about $50."
1967,"yes, i did. i saved about $50.",that's great.
1968,that's great.,"yes, except this dent will cost about $150."
1969,"did you see ""titanic""?",yes. it is a great movie.
1970,yes. it is a great movie.,i saw it twelve times.
1971,i saw it twelve times.,i saw it eight times.
1972,i saw it eight times.,i have the dvd.
1973,i have the dvd.,so do i.
1974,so do i.,let's go to your home.
1975,let's go to your home.,we can watch my dvd.
1976,we can watch my dvd.,and then we can go to my home.
1977,and then we can go to my home.,and watch your dvd.
1978,and watch your dvd.,i always cry at the end.
1979,i always cry at the end.,me too. it's so sad.
1980,let's play cards.,i don't know any card games.
1981,i don't know any card games.,i'll teach you one.
1982,i'll teach you one.,okay. what will you teach me?
1983,okay. what will you teach me?,it's called poker.
1984,it's called poker.,is it easy to learn?
1985,is it easy to learn?,"yes, it will only take about 30 minutes."
1986,"yes, it will only take about 30 minutes.",okay. teach me how to play.
1987,okay. teach me how to play.,we each get five cards.
1988,we each get five cards.,"oh, look. i have four tens."
1989,"oh, look. i have four tens.","that's great, but you're not supposed to tell me."
1990,"that's great, but you're not supposed to tell me.","oh. sorry. okay, i don't have four tens."
1991,i'm a good card player.,why is that?
1992,why is that?,because i watch the other players.
1993,because i watch the other players.,what do you mean?
1994,what do you mean?,people will tell you if they have a good hand.
1995,people will tell you if they have a good hand.,how do they do that?
1996,how do they do that?,"for example, a friend of mine licks his lips."
1997,"for example, a friend of mine licks his lips.","when he licks his lips, you know he has a good hand?"
1998,"when he licks his lips, you know he has a good hand?","i know he has a good hand, so i don't bet."
1999,"i know he has a good hand, so i don't bet.",he never wins your money?
2000,he never wins your money?,"nope, and it drives him crazy."
2001,"nope, and it drives him crazy.",he knows you can't read his mind. maybe he thinks you're cheating.
2002,"turn the radio down, please.",but i'm listening to it.
2003,but i'm listening to it.,"well, listen to it more quietly."
2004,"well, listen to it more quietly.",i can't wait till i grow up.
2005,i can't wait till i grow up.,what will you do?
2006,what will you do?,i will play the radio as loud as i want.
2007,i will play the radio as loud as i want.,that's okay with me.
2008,that's okay with me.,i will have a radio in every room of my house.
2009,i will have a radio in every room of my house.,remind me to never visit you.
2010,remind me to never visit you.,all the radios will be on extra loud.
2011,all the radios will be on extra loud.,your neighbors will hate you.
2012,your neighbors will hate you.,"if they don't like it, they can move."
2013,i hope i win the lotto.,your chances are very small.
2014,your chances are very small.,but you can't win if you don't play.
2015,but you can't win if you don't play.,ha! you can't win if you do play.
2016,ha! you can't win if you do play.,someone has to win.
2017,someone has to win.,that's what everyone says.
2018,that's what everyone says.,it might as well be me.
2019,it might as well be me.,that's what everyone says.
2020,that's what everyone says.,you're trying to tell me something.
2021,you're trying to tell me something.,that didn't take long.
2022,that didn't take long.,you think i should quit playing.
2023,you think i should quit playing.,save your money for school.
2024,what's on tv?,nothing much.
2025,nothing much.,what about the baseball game?
2026,what about the baseball game?,it got rained out.
2027,it got rained out.,rained out?
2028,rained out?,"yes, rained out."
2029,"yes, rained out.",how could that be?
2030,how could that be?,"well, you can't play baseball in a rainstorm."
2031,"well, you can't play baseball in a rainstorm.",i thought they were playing under a dome.
2032,i thought they were playing under a dome.,the dome doesn't close.
2033,the dome doesn't close.,why doesn't it close?
2034,why doesn't it close?,who knows? they said they'll fix it before next season.
2035,can i try your coffee?,sure. here you go.
2036,sure. here you go.,"hmm, that's not bad."
2037,"hmm, that's not bad.",there's nothing in it.
2038,there's nothing in it.,what do you mean?
2039,what do you mean?,"i mean, it's just coffee."
2040,"i mean, it's just coffee.",i figured that.
2041,i figured that.,it's not too bitter for you?
2042,it's not too bitter for you?,"it's a little bitter, but it's okay."
2043,"it's a little bitter, but it's okay.",there's no sugar or cream in it.
2044,there's no sugar or cream in it.,"no, it's a taste you have to get used to."
2045,"no, it's a taste you have to get used to.",sort of like beer.
2046,let's take a walk.,what's the weather like?
2047,what's the weather like?,let me step outside and see.
2048,let me step outside and see.,"it's a little chilly, right?"
2049,"it's a little chilly, right?","yes, it is."
2050,"yes, it is.",i'll put on my cap.
2051,i'll put on my cap.,"wear a jacket, too."
2052,"wear a jacket, too.",i wonder if i should bring my gloves.
2053,i wonder if i should bring my gloves.,"maybe you should, just in case it gets colder."
2054,"maybe you should, just in case it gets colder.",i'll put a glove in each pocket.
2055,i'll put a glove in each pocket.,we'll get warmer as we walk.
2056,we'll get warmer as we walk.,"yes, but it gets colder as the sun goes down."
2057,look at the car chase on tv!,that driver is crazy.
2058,that driver is crazy.,i can't believe he hasn't crashed.
2059,i can't believe he hasn't crashed.,how fast is he going?
2060,how fast is he going?,they say he's going 80 miles per hour.
2061,they say he's going 80 miles per hour.,he's going to kill someone.
2062,he's going to kill someone.,look! he just hit that car.
2063,look! he just hit that car.,"oh, my goodness. no one is safe on the streets."
2064,"oh, my goodness. no one is safe on the streets.",now he's slowing down.
2065,now he's slowing down.,maybe he ran out of gas.
2066,maybe he ran out of gas.,look! he just got out of the car and started running.
2067,look! he just got out of the car and started running.,i hope the police catch him.
2068,tv news is so stupid.,they shouldn't even call it news.
2069,they shouldn't even call it news.,last night they told us about a cat in a sofa.
2070,last night they told us about a cat in a sofa.,yesterday they told us about a dog in a pipe.
2071,yesterday they told us about a dog in a pipe.,last week they told us about a bear in a back yard.
2072,last week they told us about a bear in a back yard.,last month they told us about a mouse in a restaurant.
2073,last month they told us about a mouse in a restaurant.,the weatherman tells us the temperature in every town.
2074,the weatherman tells us the temperature in every town.,the sports guy shows us players fighting.
2075,the sports guy shows us players fighting.,"they always tell us ""what's next."""
2076,"they always tell us ""what's next.""","they always make ""what's next"" sound exciting, but it never is."
2077,"they always make ""what's next"" sound exciting, but it never is.",it's more like news for kids.
2078,it's more like news for kids.,they should have kid reporters.
2079,i love my computer.,computers are so cool.
2080,computers are so cool.,i love to go online.
2081,i love to go online.,the internet is amazing.
2082,the internet is amazing.,you can travel all over the world.
2083,you can travel all over the world.,i know. i went to china yesterday.
2084,i know. i went to china yesterday.,what did you do?
2085,what did you do?,i stood on the great wall and looked all around.
2086,i stood on the great wall and looked all around.,what was it like?
2087,what was it like?,it was like the real thing.
2088,it was like the real thing.,it was like being there?
2089,it was like being there?,"yes, i felt like i was actually there."
2090,the beatles are the best.,they are the best musical group ever.
2091,they are the best musical group ever.,i love all their songs.
2092,i love all their songs.,i don't know which one i like the best.
2093,i don't know which one i like the best.,i like the ones i can sing along with.
2094,i like the ones i can sing along with.,"so do i, like ""she loves you."""
2095,"so do i, like ""she loves you.""","""she loves you, yeah, yeah, yeah!..."""
2096,"""she loves you, yeah, yeah, yeah!...""","""and you know you should be glad!"""
2097,"""and you know you should be glad!""",what a great song.
2098,what a great song.,"how about ""let it be?"""
2099,"how about ""let it be?""","oh, yes! ""let it be, let it be"""
2100,"oh, yes! ""let it be, let it be""","""there will be an answer, let it be!"""
2101,let's go to a movie.,i'd rather not.
2102,i'd rather not.,why not?
2103,why not?,you know i don't like crowds.
2104,you know i don't like crowds.,let's go to an early movie.
2105,let's go to an early movie.,"okay, that won't be very crowded."
2106,"okay, that won't be very crowded.",what would you like to see?
2107,what would you like to see?,"oh, i don't care. you're the one who wants to go out."
2108,"oh, i don't care. you're the one who wants to go out.","well, i want to see ""the pursuit of happyness."""
2109,"well, i want to see ""the pursuit of happyness.""",what have you heard about it?
2110,what have you heard about it?,it's based on a true story about a divorced man and his young son.
2111,it's based on a true story about a divorced man and his young son.,"well, i hope it has a happy ending."
2112,what's your favorite thing to do?,i like to watch people.
2113,i like to watch people.,that's your favorite thing to do?
2114,that's your favorite thing to do?,"well, it's one of them."
2115,"well, it's one of them.",where do you go to watch people?
2116,where do you go to watch people?,my girlfriend and i sit outside starbucks.
2117,my girlfriend and i sit outside starbucks.,that sounds like a good spot.
2118,that sounds like a good spot.,we watch people walk by with their dogs.
2119,we watch people walk by with their dogs.,i guess you see lots of different dogs.
2120,i guess you see lots of different dogs.,we don't even know what kind most of them are.
2121,we don't even know what kind most of them are.,"there are lots of different kinds, but they all have one thing in common."
2122,"there are lots of different kinds, but they all have one thing in common.","yes, they love to sniff each other when they meet."
2123,they call him father dollar bill.,"yes, he was on the tv news today."
2124,"yes, he was on the tv news today.",every easter sunday he gives away money.
2125,every easter sunday he gives away money.,is it his money?
2126,is it his money?,no. movie stars give him money to give to homeless people.
2127,no. movie stars give him money to give to homeless people.,how much money does he give away?
2128,how much money does he give away?,"this year he gave away $15,000."
2129,"this year he gave away $15,000.",that's a lot of money.
2130,that's a lot of money.,he gave $100 to people in wheelchairs.
2131,he gave $100 to people in wheelchairs.,what about the other homeless people?
2132,what about the other homeless people?,they got $1 each.
2133,they got $1 each.,people stood in line just to get one dollar?!
2134,old movies are the best.,even though they're in black and white.
2135,even though they're in black and white.,a good story is more important than color.
2136,a good story is more important than color.,actors didn't curse back then.
2137,actors didn't curse back then.,and there was no violence.
2138,and there was no violence.,people today don't like that.
2139,people today don't like that.,"no, today people like lots of action."
2140,"no, today people like lots of action.",i like a good story.
2141,i like a good story.,i like to see actors who are like real people.
2142,i like to see actors who are like real people.,like real people with real problems.
2143,like real people with real problems.,they still make movies like that.
2144,they still make movies like that.,"yes, but they never make much money."
2145,do you get pbs on tv?,"yes, everybody gets the public broadcasting system."
2146,"yes, everybody gets the public broadcasting system.",it puts me to sleep.
2147,it puts me to sleep.,tell me about it.
2148,tell me about it.,a gardening show follows a knitting show.
2149,a gardening show follows a knitting show.,a cooking show follows a sewing show.
2150,a cooking show follows a sewing show.,a travel show follows another travel show.
2151,a travel show follows another travel show.,i'll say! i've gone around the world a dozen times already!
2152,i'll say! i've gone around the world a dozen times already!,now they're adding old tv shows to the old movies.
2153,now they're adding old tv shows to the old movies.,i sure would like to see something interesting for a change.
2154,i sure would like to see something interesting for a change.,"if more people donate money, pbs could offer new shows."
2155,"if more people donate money, pbs could offer new shows.",who wants to donate? public tv should be free.
2156,"i love to watch ""judge judy.""",is that a tv show?
2157,is that a tv show?,yes. it's on every afternoon.
2158,yes. it's on every afternoon.,what's so good about it?
2159,what's so good about it?,they have interesting lawsuits.
2160,they have interesting lawsuits.,such as?
2161,such as?,"yesterday, a woman complained about a cell phone she bought on ebay."
2162,"yesterday, a woman complained about a cell phone she bought on ebay.",was something wrong with the phone?
2163,was something wrong with the phone?,it works only in canada.
2164,it works only in canada.,did the seller know that?
2165,did the seller know that?,"yes, and he didn't tell the buyer."
2166,"yes, and he didn't tell the buyer.",i hope judge judy made the seller take the phone back.
2167,that woman is a very good singer.,"yes, but she looks like a man."
2168,"yes, but she looks like a man.",what difference does it make?
2169,what difference does it make?,female singers are supposed to be pretty.
2170,female singers are supposed to be pretty.,singers are supposed to sound good.
2171,singers are supposed to sound good.,"they should look good, too."
2172,"they should look good, too.",there are lots of ugly men singers.
2173,there are lots of ugly men singers.,men singers don't have to look good.
2174,men singers don't have to look good.,then neither do women singers.
2175,then neither do women singers.,"well, i would never buy her cd."
2176,"well, i would never buy her cd.",but you would buy her cd if she was pretty?
2177,but you would buy her cd if she was pretty?,yes. i would buy all of her cds.
2178,all the tv stations are going to go digital.,"yes, that will occur next month."
2179,"yes, that will occur next month.",most of them are already broadcasting in digital.
2180,most of them are already broadcasting in digital.,the digital signal is very clear.
2181,the digital signal is very clear.,"oh, no, it isn't!"
2182,"oh, no, it isn't!",what do you mean?
2183,what do you mean?,i can't get a single channel.
2184,i can't get a single channel.,do you have a digital tv?
2185,do you have a digital tv?,of course. but i don't have cable.
2186,of course. but i don't have cable.,"you don't need to have cable, but you do need a good antenna."
2187,"you don't need to have cable, but you do need a good antenna.",but i have rabbit ears.
2188,but i have rabbit ears.,rabbit ears aren't strong enough. buy a digital antenna.
2189,i've got a date for you.,"oh, really?"
2190,"oh, really?",are you interested?
2191,are you interested?,maybe. what is she like?
2192,maybe. what is she like?,she's got a great personality.
2193,she's got a great personality.,uh-oh. that means that she's fat and ugly.
2194,uh-oh. that means that she's fat and ugly.,she's cute.
2195,she's cute.,"okay, so she's not ugly; she's just fat."
2196,"okay, so she's not ugly; she's just fat.",she weighs 98 pounds.
2197,she weighs 98 pounds.,"okay, she's not fat. so what's the problem with her?"
2198,"okay, she's not fat. so what's the problem with her?",who said there is a problem with her?
2199,who said there is a problem with her?,the problem is she has no problemsshe's too good for me!
2200,i think you're very pretty.,thank you.
2201,thank you.,would you have dinner with me?
2202,would you have dinner with me?,i would like to.
2203,i would like to.,can i pick you up friday night?
2204,can i pick you up friday night?,what time?
2205,what time?,eight o'clock.
2206,eight o'clock.,that sounds great.
2207,that sounds great.,we'll go to a french restaurant.
2208,we'll go to a french restaurant.,i've never been to a french restaurant.
2209,i've never been to a french restaurant.,i think you'll love the food.
2210,i think you'll love the food.,i'm not going to eat any snails!
2211,you have pretty eyes.,thank you. so do you.
2212,thank you. so do you.,i wish my eyes were blue.
2213,i wish my eyes were blue.,what's the matter with green eyes?
2214,what's the matter with green eyes?,"nothing, except my favorite color is blue."
2215,"nothing, except my favorite color is blue.",maybe in your next life you'll have blue eyes.
2216,maybe in your next life you'll have blue eyes.,but what if i'm a fish in my next life?
2217,but what if i'm a fish in my next life?,i think some fish have blue eyes.
2218,i think some fish have blue eyes.,i hope i don't come back as a fish.
2219,i hope i don't come back as a fish.,i hope i come back as a cat.
2220,i hope i come back as a cat.,cats have beautiful eyes.
2221,cats have beautiful eyes.,i would love to have blue cat-eyes.
2222,i love you.,"i love you, too."
2223,"i love you, too.",i loved you the first day i saw you.
2224,i loved you the first day i saw you.,it was love at first sight?
2225,it was love at first sight?,"yes, it was love at first sight."
2226,"yes, it was love at first sight.",i didn't love you at first.
2227,i didn't love you at first.,i know. i had to chase you for a while.
2228,i know. i had to chase you for a while.,"yes, you chased me and then you caught me."
2229,"yes, you chased me and then you caught me.",now you're mine forever.
2230,now you're mine forever.,and you're mine forever.
2231,and you're mine forever.,we'll grow old together.
2232,we'll grow old together.,and be happy together.
2233,i'm in love with that girl.,have you told her?
2234,have you told her?,of course not.
2235,of course not.,why not?
2236,why not?,she would laugh at me.
2237,she would laugh at me.,how do you know?
2238,how do you know?,because they always do.
2239,because they always do.,maybe she's different.
2240,maybe she's different.,they're all the same.
2241,they're all the same.,just ask her out to dinner.
2242,just ask her out to dinner.,and then what?
2243,and then what?,and then she'll know that you like her.
2244,give me a hug.,i'm not in the mood.
2245,i'm not in the mood.,what's the matter?
2246,what's the matter?,i saw you looking at that woman.
2247,i saw you looking at that woman.,what woman?
2248,what woman?,"you know, that woman with the big boobs."
2249,"you know, that woman with the big boobs.",i was not looking at her.
2250,i was not looking at her.,"you were, too."
2251,"you were, too.",i'm not interested in her.
2252,i'm not interested in her.,then why were you looking at her?
2253,then why were you looking at her?,i was looking at something else.
2254,i was looking at something else.,"oh, really? then spend tonight looking at the sofa."
2255,would you like to go on a blind date?,you must be joking.
2256,you must be joking.,"no, i'm serious."
2257,"no, i'm serious.",i don't want to date a blind woman.
2258,i don't want to date a blind woman.,a blind date doesn't mean that she is blind!
2259,a blind date doesn't mean that she is blind!,what does it mean?
2260,what does it mean?,a blind date is a date with someone you don't know.
2261,a blind date is a date with someone you don't know.,why would i date someone i don't even know?
2262,why would i date someone i don't even know?,to try something new and exciting.
2263,to try something new and exciting.,what if i don't like her?
2264,what if i don't like her?,then you don't date her again.
2265,i have a date tomorrow night.,really? who with?
2266,really? who with?,a girl i met at the market.
2267,a girl i met at the market.,you met a girl at the supermarket?
2268,you met a girl at the supermarket?,she was standing behind me in a really slow line at the checkout counter.
2269,she was standing behind me in a really slow line at the checkout counter.,what did you say to her?
2270,what did you say to her?,"i had two pineapples in my cart, and she asked where i had found them."
2271,"i had two pineapples in my cart, and she asked where i had found them.",she asked you about your pineapples?
2272,she asked you about your pineapples?,"i told her i had gotten the last two on the shelf, but i offered her one of mine."
2273,"i told her i had gotten the last two on the shelf, but i offered her one of mine.",that was nice of you.
2274,that was nice of you.,"she asked me how she could return the favor, so i asked her out."
2275,"she asked me how she could return the favor, so i asked her out.",sometimes a slow line can be a good thing.
2276,did you have a date friday night?,"yes, in fact, i did."
2277,"yes, in fact, i did.",who did you go out with?
2278,who did you go out with?,a man i met in a coffee shop.
2279,a man i met in a coffee shop.,where did you go?
2280,where did you go?,we went to a nice restaurant.
2281,we went to a nice restaurant.,anywhere else?
2282,anywhere else?,then we went to a jazz club.
2283,then we went to a jazz club.,that sounds like a nice date.
2284,that sounds like a nice date.,"yes, it was pleasant."
2285,"yes, it was pleasant.",but you won't date him again?
2286,but you won't date him again?,"no. he was nice, but there was no chemistry."
2287,i had the worst date the other night.,what happened?
2288,what happened?,"first of all, he was half an hour late."
2289,"first of all, he was half an hour late.",that's not a good start.
2290,that's not a good start.,then he didn't bother to apologize.
2291,then he didn't bother to apologize.,that's rude.
2292,that's rude.,then he drove too fast to the restaurant.
2293,then he drove too fast to the restaurant.,that's dangerous.
2294,that's dangerous.,i thought about getting out and taking a taxi home.
2295,i thought about getting out and taking a taxi home.,what happened at the restaurant?
2296,what happened at the restaurant?,"we had a $40 meal, and he left a $1 tip!"
2297,"we had a $40 meal, and he left a $1 tip!",i guess you can't go back to that restaurant.
2298,i don't like that man.,why not?
2299,why not?,he's a dirty old man.
2300,he's a dirty old man.,what do you mean?
2301,what do you mean?,"he's old enough to be my father, yet he asked me out."
2302,"he's old enough to be my father, yet he asked me out.","well, you can't blame a man for asking."
2303,"well, you can't blame a man for asking.",he should act his age.
2304,he should act his age.,but a lot of old people are still interested in dating.
2305,but a lot of old people are still interested in dating.,they should find a nice hobby.
2306,they should find a nice hobby.,just wait until you're 50 years old.
2307,just wait until you're 50 years old.,dating will be the furthest thing from my mind.
2308,dating will be the furthest thing from my mind.,that's what you say now. wait till you're 50.
2309,does your girlfriend ever make you angry?,sometimes.
2310,sometimes.,what does she do?
2311,what does she do?,"just yesterday, i told her i wouldn't trade her for all the money in the world."
2312,"just yesterday, i told her i wouldn't trade her for all the money in the world.",that was a nice thing to say.
2313,that was a nice thing to say.,that's what i thought.
2314,that's what i thought.,what did she say?
2315,what did she say?,she laughed! she didn't believe me.
2316,she laughed! she didn't believe me.,that wasn't very nice of her.
2317,that wasn't very nice of her.,she said that nothing is more important to me than money.
2318,she said that nothing is more important to me than money.,what did you say?
2319,what did you say?,i told her i wouldn't trade her for any other woman in the world.
2320,some people have good noses.,i wish i had a good nose. mine is way too big.
2321,i wish i had a good nose. mine is way too big.,i don't mean good-looking. i mean good-smelling.
2322,i don't mean good-looking. i mean good-smelling.,oh. but that can be a curse.
2323,oh. but that can be a curse.,"yes, because you can be too sensitive to odors."
2324,"yes, because you can be too sensitive to odors.",i'll say. my girlfriend has a nose like a drug dog.
2325,i'll say. my girlfriend has a nose like a drug dog.,did she catch you using drugs?
2326,did she catch you using drugs?,sort of. she knows whenever i sneak a cigarette.
2327,sort of. she knows whenever i sneak a cigarette.,you don't need a good nose for thatcigarettes stink.
2328,you don't need a good nose for thatcigarettes stink.,"but when i sneak just one cigarette in the morning, she can smell it that evening!"
2329,"but when i sneak just one cigarette in the morning, she can smell it that evening!","boy, that is a good nose."
2330,"boy, that is a good nose.",i told her she should apply for a job at customs.
2331,let's go out to eat.,that sounds like fun.
2332,that sounds like fun.,where do you want to go?
2333,where do you want to go?,let me think a minute.
2334,let me think a minute.,i feel like chinese.
2335,i feel like chinese.,that sounds delicious.
2336,that sounds delicious.,i know a good chinese restaurant.
2337,i know a good chinese restaurant.,how far away is it?
2338,how far away is it?,it's only 10 minutes from here.
2339,it's only 10 minutes from here.,do we need reservations?
2340,do we need reservations?,"oh, no. we can walk right in."
2341,"oh, no. we can walk right in.",let's go now. i'm hungry!
2342,i can't believe how long this line is.,"this is a popular restaurant, isn't it?"
2343,"this is a popular restaurant, isn't it?","yes, but it isn't a fast-food restaurant, is it?"
2344,"yes, but it isn't a fast-food restaurant, is it?",it's the slowest hamburger in town.
2345,it's the slowest hamburger in town.,that's because they cook it while you wait.
2346,that's because they cook it while you wait.,yes. that's why it's also the best hamburger in town.
2347,yes. that's why it's also the best hamburger in town.,a great burger and great service.
2348,a great burger and great service.,"yes, the workers are very polite."
2349,"yes, the workers are very polite.",and they're clean.
2350,and they're clean.,i've been coming here for years.
2351,i've been coming here for years.,me too.
2352,me too.,excuse me. they just called my number.
2353,lunch was delicious.,thank you.
2354,thank you.,what kind of soup was that?
2355,what kind of soup was that?,it was tomato soup.
2356,it was tomato soup.,that tasted so good.
2357,that tasted so good.,i put lemon and butter in it.
2358,i put lemon and butter in it.,"the sandwich was good, too."
2359,"the sandwich was good, too.",everyone likes bacon and tomato sandwiches.
2360,everyone likes bacon and tomato sandwiches.,especially on toast.
2361,especially on toast.,"and the pickles were great, too."
2362,"and the pickles were great, too.",tomorrow we'll have rice and fish for lunch.
2363,tomorrow we'll have rice and fish for lunch.,i can't wait.
2364,i'm calling the waiter.,what's the matter?
2365,what's the matter?,this steak has too much fat.
2366,this steak has too much fat.,what do you want the waiter to do?
2367,what do you want the waiter to do?,bring me a better steak.
2368,bring me a better steak.,i wouldn't do that.
2369,i wouldn't do that.,why not?
2370,why not?,"they will drop the new steak on the floor, step on it, and then spit on it."
2371,"they will drop the new steak on the floor, step on it, and then spit on it.",you're crazy.
2372,you're crazy.,then the waiter will give you a big smile as he brings you the new steak.
2373,then the waiter will give you a big smile as he brings you the new steak.,where do you get these crazy ideas?
2374,where do you get these crazy ideas?,i used to cook in a restaurant!
2375,let's leave.,but we just got here.
2376,but we just got here.,did you see the waiter's hands?
2377,did you see the waiter's hands?,no.
2378,no.,he had dirty fingernails.
2379,he had dirty fingernails.,really?
2380,really?,his nails were black!
2381,his nails were black!,that's disgusting.
2382,that's disgusting.,and he poured water into our glasses.
2383,and he poured water into our glasses.,yuck! no water for me.
2384,yuck! no water for me.,"i wonder if the cooks' nails are dirty, too."
2385,"i wonder if the cooks' nails are dirty, too.",who cares? let's get out of here.
2386,this hot bread is delicious.,i like this restaurant because they give you free bread.
2387,i like this restaurant because they give you free bread.,"well, i think we are paying for it."
2388,"well, i think we are paying for it.",no. look at the bill when we get it. there's no charge for the bread.
2389,no. look at the bill when we get it. there's no charge for the bread.,"it is delicious, especially with butter."
2390,"it is delicious, especially with butter.",i think we should just leave after we fill up on the bread.
2391,i think we should just leave after we fill up on the bread.,they probably wouldn't like that.
2392,they probably wouldn't like that.,i'm eating so much bread that i'm getting full.
2393,i'm eating so much bread that i'm getting full.,then stop eating the bread!
2394,then stop eating the bread!,"okay, just one more piece. pass the butter, please."
2395,"okay, just one more piece. pass the butter, please.","if i owned a restaurant, i would never serve hot bread before the main course."
2396,"if i owned a restaurant, i would never serve hot bread before the main course.",that's terrible. i would never go to your restaurant.
2397,is this a clean restaurant?,"well, the tables and chairs look okay."
2398,"well, the tables and chairs look okay.","okay, let's sit down."
2399,"okay, let's sit down.",check out the silverware.
2400,check out the silverware.,it passes inspection.
2401,it passes inspection.,here comes the waiter. see if his hands and nails are clean.
2402,here comes the waiter. see if his hands and nails are clean.,"well, the waiter looked clean, so i guess it's okay to eat here."
2403,"well, the waiter looked clean, so i guess it's okay to eat here.",you're forgetting about the bathroom.
2404,you're forgetting about the bathroom.,i'm going to just hope that the bathroom is clean.
2405,i'm going to just hope that the bathroom is clean.,you're not going to examine it before we order dinner?
2406,you're not going to examine it before we order dinner?,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now."
2407,"no, i'd rather not find out that it's dirty, because i'm pretty hungry right now.","me, too. let's forget about germs and focus on food."
2408,have you seen our waiter?,here he comes now.
2409,here he comes now.,we've been sitting here for almost 10 minutes.
2410,we've been sitting here for almost 10 minutes.,"oops, i guess i was wrong. that isn't our waiter."
2411,"oops, i guess i was wrong. that isn't our waiter.","we can give him five more minutes, and then leave."
2412,"we can give him five more minutes, and then leave.",i'll go up front and talk to the manager.
2413,i'll go up front and talk to the manager.,that's a good idea.
2414,that's a good idea.,maybe they'll give us free drinks for waiting so long.
2415,maybe they'll give us free drinks for waiting so long.,maybe he'll send us our waiter immediately.
2416,maybe he'll send us our waiter immediately.,"every time we eat out, it's an adventure."
